Layer	Row	Module	Channel	Pedestal
         0         1         5        11   143.364   2.82234
         0         1         5        12   100.322   3.40199
         0         1         5        13   158.276   2.87857
         0         1         5        14   153.027    2.7071
         0         1         5        15   132.586   3.10935
         0         1         5        16   148.133   2.43685
         0         1         5        17   92.6609   2.40822
         0         1         5        18   140.536   2.53404
         0         1         5        19   143.541   2.48929
         0         1         5        20   137.893   2.70807
         0         1         5        21   108.357   3.14804
         0         1         5        22   131.225   2.92113
         0         1         5        23   181.937   2.84252
         0         1         5        24   160.364   2.93437
         0         1         5        25   152.652    2.8865
         0         1         5        26   87.1135   2.65912
         0         1         5        27   128.754   2.82063
         0         1         5        28   105.251   2.73077
         0         1         5        29   141.952   2.90635
         0         1         5        30   141.684   2.82872
         0         1         5        31   163.541   2.67061
         0         3         0         0   128.824   3.00567
         0         3         0         1   128.484    3.7311
         0         3         0         2   145.442   3.95365
         0         3         0         3   117.413   4.21364
         0         3         0         4   125.835    4.2806
         0         3         0         5   118.247   4.20693
         0         3         0         6    163.31   4.19043
         0         3         0         7   123.331   4.22055
         0         3         0         8   126.032   3.77497
         0         3         0         9   109.257   3.67085
         0         3         0        10   115.063   3.48162
         0         3         0        11   98.6242   3.09121
         0         3         0        12   111.074   3.53286
         0         3         0        13   139.635   5.33091
         0         3         0        14   142.755    5.1141
         0         3         0        15   158.142   6.42983
         0         3         0        16   93.2179   2.91754
         0         3         0        17   140.754   2.66651
         0         3         0        18   110.658   2.44449
         0         3         0        19   116.358   2.70407
         0         3         0        20   72.6219   2.24971
         0         3         0        21   106.351    2.7527
         0         3         0        22    105.38   2.74066
         0         3         0        23   127.525   2.98367
         0         3         0        24   135.242   2.39075
         0         3         0        25    191.57   2.85759
         0         3         0        26    122.45   2.78997
         0         3         0        27   109.309   2.76515
         0         3         0        28    122.64   2.63836
         0         3         0        29   125.214   2.81559
         0         3         0        30   157.573   2.77965
         0         3         0        31   143.536   2.53623
         0         3         1         0   129.899   2.76599
         0         3         1         1   84.7829   2.45804
         0         3         1         2   97.8392   2.87623
         0         3         1         3   164.535   3.23058
         0         3         1         4   111.585   3.25666
         0         3         1         5   133.498    3.0769
         0         3         1         6   100.051   2.94895
         0         3         1         7   135.422   3.17712
         0         3         1         8    125.48   2.95816
         0         3         1         9   61.6764   2.43398
         0         3         1        10    124.94   2.80846
         0         3         1        11   103.601   2.58982
         0         3         1        12    88.906   2.71106
         0         3         1        13    135.27    3.5799
         0         3         1        14   119.475   3.71995
         0         3         1        15   82.3661   4.38091
         0         3         1        16   90.7586   2.36108
         0         3         1        17   99.6658   2.34958
         0         3         1        18   108.184   2.26884
         0         3         1        19   95.8691   2.34756
         0         3         1        20   109.215   2.48922
         0         3         1        21    84.305   2.12017
         0         3         1        22   109.337   2.44386
         0         3         1        23   123.742   2.57263
         0         3         1        24   103.276   2.41597
         0         3         1        25   113.647   2.45015
         0         3         1        26   64.1278   2.01368
         0         3         1        27   121.228   2.44832
         0         3         1        28    103.57   2.24221
         0         3         1        29   65.3238   1.95664
         0         3         1        30    117.31   2.45401
         0         3         1        31    143.87   2.46642
         0         3         2         0   135.155   2.29371
         0         3         2         1   115.523   2.50533
         0         3         2         2   136.223   2.65234
         0         3         2         3    161.85   2.91089
         0         3         2         4   112.979   2.94094
         0         3         2         5   100.496   2.64167
         0         3         2         6   106.868   2.72909
         0         3         2         7   135.515   3.11959
         0         3         2         8    97.453   2.42463
         0         3         2         9   147.928   2.59778
         0         3         2        10   113.169   2.86465
         0         3         2        11   132.734   2.60069
         0         3         2        12   108.683   2.75056
         0         3         2        13   117.626   3.00552
         0         3         2        14   101.534   3.13022
         0         3         2        15   113.464    4.3314
         0         3         2        16    146.66   2.36768
         0         3         2        17   114.908    2.3726
         0         3         2        18   143.544    2.2992
         0         3         2        19   85.4192   2.06673
         0         3         2        20   171.162   2.45484
         0         3         2        21   147.661    2.1612
         0         3         2        22    94.404   2.31577
         0         3         2        23   135.707   2.34599
         0         3         2        24   144.803   2.52404
         0         3         2        25   108.779    2.2633
         0         3         2        26   126.457   2.51418
         0         3         2        27   156.809   2.46231
         0         3         2        28   91.8025   2.27677
         0         3         2        29    109.08   2.30505
         0         3         2        30   131.288   2.39212
         0         3         2        31   95.8054   2.26042
         0         3         3         0   122.249   2.56781
         0         3         3         1   142.048   2.56577
         0         3         3         2   121.846   2.86017
         0         3         3         3   171.094   2.99258
         0         3         3         4   136.048   3.01749
         0         3         3         5   115.424   3.04385
         0         3         3         6   164.814   2.90649
         0         3         3         7   124.945   3.16851
         0         3         3         8    146.83   2.97008
         0         3         3         9   109.999   3.19938
         0         3         3        10    153.43   3.13163
         0         3         3        11   183.203   3.12503
         0         3         3        12   124.384   3.17603
         0         3         3        13   93.9682    3.4993
         0         3         3        14   107.803   3.73371
         0         3         3        15   125.141   4.97533
         0         3         3        16   137.695    2.4114
         0         3         3        17    136.71   2.53041
         0         3         3        18   102.108   2.40407
         0         3         3        19   97.8341   2.65867
         0         3         3        20   127.553   2.57537
         0         3         3        21   162.453   2.79683
         0         3         3        22   132.842   2.68725
         0         3         3        23   143.475    2.6917
         0         3         3        24   169.363   2.58997
         0         3         3        25    179.87   2.98097
         0         3         3        26   149.696   2.63383
         0         3         3        27   222.032   2.70496
         0         3         3        28   202.796   2.57658
         0         3         3        29   114.898   2.53786
         0         3         3        30   186.143   2.75409
         0         3         3        31   151.957   2.55284
         0         3         4         0   80.4683   2.23331
         0         3         4         1   99.2002    2.3951
         0         3         4         2   85.9224   2.48756
         0         3         4         3   135.288   2.60771
         0         3         4         4   105.995   2.68707
         0         3         4         5   112.994   2.83651
         0         3         4         6   122.445   2.68056
         0         3         4         7   103.212   2.56939
         0         3         4         8   124.896   2.74953
         0         3         4         9   110.874   2.64765
         0         3         4        10   122.341   3.08397
         0         3         4        11   154.007   2.53232
         0         3         4        12   108.131   2.85193
         0         3         4        13     86.83   2.77885
         0         3         4        14   104.125   2.97053
         0         3         4        15   110.634   3.44239
         0         3         4        16   101.719   2.28781
         0         3         4        17   106.648   2.28679
         0         3         4        18   64.2911   2.00806
         0         3         4        19   94.8607   2.27685
         0         3         4        20   109.536   2.17468
         0         3         4        21   112.002   2.24275
         0         3         4        22   89.6729   2.18175
         0         3         4        23   113.352   2.31647
         0         3         4        24   109.459   2.39981
         0         3         4        25   91.8699   2.44836
         0         3         4        26     71.99   2.03224
         0         3         4        27   103.137   2.15319
         0         3         4        28   122.067   2.58782
         0         3         4        29   128.497   2.49534
         0         3         4        30   140.306   2.52241
         0         3         4        31   150.276   2.24142
         0         3         5         0   110.841   2.36014
         0         3         5         1   119.722   2.51827
         0         3         5         2   110.942    2.7107
         0         3         5         3   131.315   2.59332
         0         3         5         4   129.719    2.9378
         0         3         5         5   104.203   2.72241
         0         3         5         6   61.4836   2.33805
         0         3         5         7   144.101   3.07432
         0         3         5         8   119.941   2.68691
         0         3         5         9   98.5473   2.40507
         0         3         5        10   115.375   2.55568
         0         3         5        11   104.578   2.43713
         0         3         5        12   129.725   2.59181
         0         3         5        13   98.2688   2.75243
         0         3         5        14    100.32   2.76367
         0         3         5        15   119.422   3.56695
         0         3         5        16   145.935   2.35232
         0         3         5        17   138.043   2.12538
         0         3         5        18   155.797   2.57681
         0         3         5        19   139.181   2.22701
         0         3         5        20   86.9663   2.17518
         0         3         5        21   131.323    2.4534
         0         3         5        22   59.6349   2.04056
         0         3         5        23   67.4945   1.97525
         0         3         5        24   111.884   2.36174
         0         3         5        25   99.2705   2.26615
         0         3         5        26   145.058   2.30621
         0         3         5        27   143.952   2.31772
         0         3         5        28   95.5575   2.23365
         0         3         5        29   148.527   2.27967
         0         3         5        30   102.018   2.30355
         0         3         5        31   150.569   2.34774
         0         4         0         0   100.127   2.50444
         0         4         0         1   144.967   2.51808
         0         4         0         2   88.0984   2.76513
         0         4         0         3   146.182   2.82462
         0         4         0         4   131.265   3.18444
         0         4         0         5   107.295   3.11067
         0         4         0         6   147.803   2.85229
         0         4         0         7   135.993   2.74482
         0         4         0         8   123.648  0.979921
         0         4         0         9   110.174   2.97729
         0         4         0        10   118.093   2.91216
         0         4         0        11   139.066   2.84945
         0         4         0        12   138.746    2.6267
         0         4         0        13   89.5891   2.96603
         0         4         0        14   97.3151   3.00145
         0         4         0        15   162.774   3.61652
         0         4         0        16   169.185    3.7612
         0         4         0        17   152.757   3.01412
         0         4         0        18   128.285   2.63754
         0         4         0        19   135.445   2.47055
         0         4         0        20    155.82   2.62976
         0         4         0        21   86.2699   2.40953
         0         4         0        22   104.062   2.86053
         0         4         0        23   148.966   3.02473
         0         4         0        24   164.529    2.6125
         0         4         0        25   111.584   2.59403
         0         4         0        26   119.021   2.62423
         0         4         0        27   140.542   2.55203
         0         4         0        28    119.75   2.69197
         0         4         0        29   158.748   2.59389
         0         4         0        30   158.018   2.68777
         0         4         0        31   125.141   2.63063
         0         4         1         0   62.8725   2.50097
         0         4         1         1   62.9756    2.4081
         0         4         1         2   154.163   2.78166
         0         4         1         3   108.123   2.79564
         0         4         1         4   108.975   3.01291
         0         4         1         5   133.084   2.94446
         0         4         1         6   157.339    2.8919
         0         4         1         7   80.2089   2.67466
         0         4         1         8   119.279   2.58447
         0         4         1         9    97.501   2.52804
         0         4         1        10   138.077   2.67817
         0         4         1        11   68.3504   2.43932
         0         4         1        12   100.293   2.68417
         0         4         1        13   107.786    2.9368
         0         4         1        14   99.2868   2.78707
         0         4         1        15   106.035   3.24472
         0         4         1        16   83.1599   2.84231
         0         4         1        17   82.2349   2.38592
         0         4         1        18    142.25   2.58041
         0         4         1        19   137.341   2.53335
         0         4         1        20   117.415   2.48644
         0         4         1        21   122.918   2.66932
         0         4         1        22   94.5519   2.68758
         0         4         1        23   54.4836   2.19654
         0         4         1        24   117.867   2.56602
         0         4         1        25   80.0549   2.54066
         0         4         1        26   141.782   2.60628
         0         4         1        27   93.7558   2.72813
         0         4         1        28   110.396   2.74427
         0         4         1        29   113.026   2.63791
         0         4         1        30   82.9937   2.32034
         0         4         1        31   135.689    2.5947
         0         4         2         0   124.397   2.73397
         0         4         2         1   176.049   2.59637
         0         4         2         2   162.196   2.60363
         0         4         2         3   110.396   2.67508
         0         4         2         4   137.209    2.5802
         0         4         2         5   96.1681   2.54179
         0         4         2         6   132.224    2.7269
         0         4         2         7   150.998   2.80441
         0         4         2         8   95.7237   2.40158
         0         4         2         9   137.639   2.51632
         0         4         2        10   109.548   2.71573
         0         4         2        11   93.0932   2.46366
         0         4         2        12   146.298   2.49656
